datetime,temperature
2018-04-04 12:00:00,46.98
2018-04-04 13:00:00,48.43
2018-04-04 14:00:00,49.6
2018-04-04 15:00:00,49.85
2018-04-04 16:00:00,48.98
2018-04-04 17:00:00,47.95
2018-04-04 18:00:00,47.35
2018-04-04 19:00:00,47.08
2018-04-04 20:00:00,46.79
2018-04-04 21:00:00,46.62
2018-04-04 22:00:00,46.43
2018-04-04 23:00:00,46.19
2018-04-05 00:00:00,45.85
2018-04-05 01:00:00,45.69
2018-04-05 02:00:00,45.18
2018-04-05 03:00:00,44.82
2018-04-05 04:00:00,44.34
2018-04-05 05:00:00,43.91
2018-04-05 06:00:00,43.66
2018-04-05 07:00:00,43.75
2018-04-05 08:00:00,44.2
2018-04-05 09:00:00,44.94
2018-04-05 10:00:00,45.92
2018-04-05 11:00:00,47.21
2018-04-05 12:00:00,48.43
2018-04-05 13:00:00,49.89
2018-04-05 14:00:00,50.71
2018-04-05 15:00:00,50.91
2018-04-05 16:00:00,50.42
2018-04-05 17:00:00,49.94
2018-04-05 18:00:00,49.52
2018-04-05 19:00:00,49.56
2018-04-05 20:00:00,49.47
2018-04-05 21:00:00,49.37
2018-04-05 22:00:00,49.09
2018-04-05 23:00:00,48.73
2018-04-06 00:00:00,48.4
2018-04-06 01:00:00,48.13
2018-04-06 02:00:00,47.82
2018-04-06 03:00:00,47.39
2018-04-06 04:00:00,46.91
2018-04-06 05:00:00,46.52
2018-04-06 06:00:00,46.37
2018-04-06 07:00:00,46.55
2018-04-06 08:00:00,47.06
2018-04-06 09:00:00,47.89
2018-04-06 10:00:00,48.98
2018-04-06 11:00:00,50.3
2018-04-06 12:00:00,51.85
